Joueur,Nationalité,Matchs (éq. 90 min),Tacles réussis,Tacles tentés,% tacles réussis,Duels perdus,Tacles (tiers déf.),Tacles (tiers méd.),Tacles (tiers off.),Contres,Tirs bloqués,Passes bloquées,Interceptions,Tacles + interceptions,Dégagements,Erreurs défensives,Matchs joués
Adrien Thomasson,fr FRA,29.1,90,95,54.7,43,42,25,23,48,3,45,19,109,28,2,Matches
Facundo Medina,ar ARG,28.3,44,42,57.1,18,22,18,4,30,10,20,32,76,70,0,Matches
Andy Diouf,fr FRA,24.7,37,40,40.0,24,10,22,5,24,1,23,15,52,18,2,Matches
Jonathan Gradit,fr FRA,23.5,44,40,57.5,17,22,19,3,27,12,15,25,69,122,2,Matches
Florian Sotoca,fr FRA,19.9,22,22,54.5,10,3,8,11,12,2,10,14,36,25,0,Matches
Deiver Machado,co COL,20.1,36,30,56.7,13,14,14,8,20,4,16,16,52,34,2,Matches
Neil El Aynaoui,fr FRA,17.6,39,34,35.3,22,18,15,6,34,8,26,30,69,29,0,Matches
M'Bala Nzola,ao ANG,16.2,5,9,33.3,6,0,1,4,9,1,8,5,10,7,0,Matches
Anass Zaroury,ma MAR,15.6,23,26,34.6,17,6,12,5,9,0,9,6,29,15,0,Matches
Przemysław Frankowski,pl POL,15.4,32,30,63.3,11,17,10,5,10,2,8,19,51,28,0,Matches
Malang Sarr,fr FRA,15.4,21,27,59.3,11,12,6,3,18,9,9,22,43,63,3,Matches
Brice Samba,fr FRA,15.0,0,0,,0,0,0,0,0,0,0,1,1,6,2,Matches
Mathew Ryan,au AUS,14.0,1,2,50.0,1,1,0,0,0,0,0,1,2,2,2,Matches
Ruben Aguilar,fr FRA,12.5,34,39,61.5,15,17,12,5,25,3,22,13,47,23,0,Matches
Kevin Danso,at AUT,12.0,19,16,75.0,4,12,5,2,25,19,6,20,39,62,1,Matches
Goduine Koyalipou,cf CTA,9.8,3,1,100.0,0,0,3,0,4,0,4,1,4,8,0,Matches
Angelo Fulgini,fr FRA,11.6,14,16,37.5,10,6,4,4,11,1,10,2,16,3,0,Matches
Abdukodir Khusanov,uz UZB,10.8,15,11,63.6,4,9,5,1,17,11,6,26,41,57,0,Matches
Wesley Saïd,fr FRA,10.1,16,13,46.2,7,3,10,3,6,0,6,2,18,2,0,Matches
Juma Bah,sl SLE,7.6,16,7,71.4,2,6,10,0,10,7,3,17,33,47,1,Matches
Jhoanner Chávez,ec ECU,6.6,9,7,28.6,5,4,4,1,10,1,9,6,15,13,0,Matches
Nampalys Mendy,sn SEN,6.5,15,14,42.9,8,4,7,4,8,2,6,9,24,8,0,Matches
Rémy Labeau Lascary,gp GLP,7.1,16,11,45.5,6,7,6,3,5,0,5,1,17,7,0,Matches
Hervé Koffi,bf BFA,5.0,1,1,100.0,0,1,0,0,0,0,0,0,1,5,0,Matches
David Costa,pt POR,3.9,2,4,25.0,3,1,1,0,5,1,4,1,3,0,0,Matches
Tom Pouilly,fr FRA,3.0,9,10,50.0,5,5,1,3,5,1,4,4,13,11,0,Matches
Kyllian Antonio,fr FRA,1.5,3,3,33.3,2,2,0,1,3,0,3,3,6,3,1,Matches
Hamzat Ojediran,ng NGA,4.6,28,19,36.8,12,12,13,3,10,2,8,10,38,7,0,Matches
Jeremy Agbonifo,se SWE,3.3,7,7,42.9,4,6,0,1,2,1,1,1,8,0,1,Matches
Martin Satriano,uy URU,1.0,3,3,100.0,0,1,1,1,0,0,0,0,3,2,0,Matches
Rayan Fofana,fr FRA,0.3,2,0,,0,1,1,0,0,0,0,0,2,0,0,Matches
Gabin Capuano,fr FRA,0.1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Kembo Diliwidi,fr FRA,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
