Joueur,Nationalité,Éq. 90 min,Cartons jaunes,Cartons rouges,Cartons jaunes → rouge,Fautes commises,Fautes subies,Hors-jeu,Centres tentés,Interceptions,Tacles gagnés,Penalties obtenus,Penalties concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,% duels aériens gagnés
Adrien Thomasson,fr FRA,29.1,7,0,0,51,48,7,58,19,47,0,1,0,206,17,45,27.4
Facundo Medina,ar ARG,28.3,15,1,1,29,22,0,16,32,29,0,1,0,165,30,24,55.6
Andy Diouf,fr FRA,24.7,2,0,0,43,21,2,30,15,26,0,1,0,154,18,31,36.7
Jonathan Gradit,fr FRA,23.5,4,0,0,29,16,0,10,25,23,0,0,0,73,64,44,59.3
Florian Sotoca,fr FRA,19.9,2,1,0,15,20,6,75,14,13,0,0,0,79,43,26,62.3
Deiver Machado,co COL,20.1,7,2,1,28,30,5,51,16,26,0,0,0,89,16,16,50.0
Neil El Aynaoui,fr FRA,17.6,4,0,0,34,32,0,65,30,21,0,0,0,90,24,15,61.5
M'Bala Nzola,ao ANG,16.2,3,1,0,30,13,24,1,5,4,0,0,0,36,38,36,51.4
Anass Zaroury,ma MAR,15.6,3,1,1,13,24,2,125,6,17,1,0,0,59,2,5,28.6
Przemysław Frankowski,pl POL,15.4,3,0,0,18,7,1,78,19,21,0,0,0,61,8,6,57.1
Malang Sarr,fr FRA,15.4,0,0,0,13,10,1,1,22,13,0,3,0,69,18,5,78.3
Brice Samba,fr FRA,15.0,1,0,0,0,2,0,0,1,0,0,0,0,22,0,0,
Mathew Ryan,au AUS,14.0,0,0,0,0,1,0,0,1,0,0,0,0,11,4,0,100.0
Ruben Aguilar,fr FRA,12.5,4,0,0,14,15,5,47,13,18,0,0,0,79,10,16,38.5
Kevin Danso,at AUT,12.0,3,0,0,27,11,1,0,20,7,0,1,0,59,41,21,66.1
Goduine Koyalipou,cf CTA,9.8,0,0,0,7,6,6,2,1,2,0,0,0,15,16,24,40.0
Angelo Fulgini,fr FRA,11.6,3,0,0,16,26,2,44,2,10,0,0,0,52,9,15,37.5
Abdukodir Khusanov,uz UZB,10.8,2,1,0,13,3,0,5,26,11,0,1,0,50,27,12,69.2
Wesley Saïd,fr FRA,10.1,4,0,0,22,4,7,8,2,11,0,0,0,17,10,16,38.5
Juma Bah,sl SLE,7.6,2,0,0,7,1,0,0,17,10,0,0,0,37,23,6,79.3
Jhoanner Chávez,ec ECU,6.6,1,0,0,10,8,2,30,6,5,0,1,0,25,7,5,58.3
Nampalys Mendy,sn SEN,6.5,2,0,0,11,12,0,2,9,8,0,0,0,30,1,1,50.0
Rémy Labeau Lascary,gp GLP,7.1,5,0,0,23,9,10,19,1,10,0,0,0,21,6,7,46.2
Hervé Koffi,bf BFA,5.0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0
David Costa,pt POR,3.9,0,1,0,3,4,0,15,1,0,1,0,0,10,0,2,0.0
Tom Pouilly,fr FRA,3.0,1,0,0,3,2,0,11,4,6,0,0,0,16,0,4,0.0
Kyllian Antonio,fr FRA,1.5,0,0,0,2,3,0,2,3,2,0,0,0,5,2,2,50.0
Hamzat Ojediran,ng NGA,4.6,5,0,0,17,3,1,2,10,15,0,0,0,26,9,15,37.5
Jeremy Agbonifo,se SWE,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0
Martin Satriano,uy URU,1.0,0,0,0,4,1,0,1,0,1,0,0,0,6,5,5,50.0
Rayan Fofana,fr FRA,0.3,0,0,0,1,1,0,0,0,2,0,0,0,2,0,1,0.0
Gabin Capuano,fr FRA,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Kembo Diliwidi,fr FRA,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
