Joueur,Nationalité
Adrien Thomasson,fr FRA
Facundo Medina,ar ARG
Andy Diouf,fr FRA
Jonathan Gradit,fr FRA
Florian Sotoca,fr FRA
Deiver Machado,co COL
Neil El Aynaoui,fr FRA
M'Bala Nzola,ao ANG
Anass Zaroury,ma MAR
Przemysław Frankowski,pl POL
Malang Sarr,fr FRA
Brice Samba,fr FRA
Mathew Ryan,au AUS
Ruben Aguilar,fr FRA
Kevin Danso,at AUT
Goduine Koyalipou,cf CTA
Angelo Fulgini,fr FRA
Abdukodir Khusanov,uz UZB
Wesley Saïd,fr FRA
Juma Bah,sl SLE
Jhoanner Chávez,ec ECU
Nampalys Mendy,sn SEN
Rémy Labeau Lascary,gp GLP
Hervé Koffi,bf BFA
David Costa,pt POR
Tom Pouilly,fr FRA
Kyllian Antonio,fr FRA
Hamzat Ojediran,ng NGA
Jeremy Agbonifo,se SWE
Martin Satriano,uy URU
Rayan Fofana,fr FRA
Gabin Capuano,fr FRA
Kembo Diliwidi,fr FRA
Hervé Boua Dié,fr FRA
Nidal Celik,ba BIH
Adam Delplace,fr FRA
Ismaëlo Ganiou,bf BFA
Massadio Haïdara,ml MLI
Ilan Jourdren,fr FRA
Roman Karolewicz,fr FRA
Oscar Lenne,fr FRA
Denis Petrić,rs SRB
Souleymane Sagnan,fr FRA
