Joueur,Matchs (éq. 90 min),Buts,Tirs,Tirs cadrés,% tirs cadrés,Tirs / 90 min,Tirs cadrés / 90 min,Buts par tir,Buts par tir cadré,Distance moyenne du tir,Tirs sur coup francs,Penaltys marqués,Penaltys tentés,Buts attendus (xG),xG hors pen. (npxG),xG / tir cadré hors pen,Buts - xG,Buts hors pen – xG hors pen
Adrien Thomasson,29.1,3,41,11,26.8,1.41,0.38,0.07,0.27,14.3,0,0,0,5.9,5.9,0.15,-2.9,-2.9
Facundo Medina,28.3,0,27,3,11.1,0.96,0.11,0.0,0.0,18.3,0,0,0,1.8,1.8,0.07,-1.8,-1.8
Andy Diouf,24.7,1,40,5,12.5,1.62,0.2,0.03,0.2,20.0,0,0,0,2.9,2.9,0.07,-1.9,-1.9
Jonathan Gradit,23.5,0,16,4,25.0,0.68,0.17,0.0,0.0,17.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8
Florian Sotoca,19.9,1,47,18,38.3,2.36,0.9,0.02,0.06,14.7,0,0,0,4.6,4.6,0.1,-3.6,-3.6
Deiver Machado,20.1,1,23,5,21.7,1.15,0.25,0.04,0.2,19.2,1,0,0,2.3,2.3,0.1,-1.3,-1.3
Neil El Aynaoui,17.6,8,16,7,43.8,0.91,0.4,0.31,0.71,20.4,1,3,3,4.0,1.6,0.1,4.0,3.4
M'Bala Nzola,16.2,6,47,18,38.3,2.9,1.11,0.13,0.33,12.1,0,0,0,8.6,8.6,0.19,-2.6,-2.6
Anass Zaroury,15.6,2,35,12,34.3,2.24,0.77,0.06,0.17,22.4,0,0,0,1.7,1.7,0.05,0.3,0.3
Przemysław Frankowski,15.4,4,14,5,35.7,0.91,0.32,0.14,0.4,21.9,1,2,2,2.3,0.7,0.05,1.7,1.3
Malang Sarr,15.4,0,6,1,16.7,0.39,0.06,0.0,0.0,16.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Brice Samba,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mathew Ryan,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ruben Aguilar,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,16.0,0,0,0,0.8,0.8,0.07,0.2,0.2
Kevin Danso,12.0,0,10,2,20.0,0.83,0.17,0.0,0.0,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Goduine Koyalipou,9.8,4,42,14,33.3,4.27,1.42,0.1,0.29,14.3,0,0,0,4.8,4.8,0.12,-0.8,-0.8
Angelo Fulgini,11.6,1,26,9,34.6,2.24,0.78,0.04,0.11,17.9,2,0,0,2.4,2.4,0.09,-1.4,-1.4
Abdukodir Khusanov,10.8,0,6,4,66.7,0.55,0.37,0.0,0.0,24.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2
Wesley Saïd,10.1,3,17,7,41.2,1.69,0.7,0.18,0.43,11.2,0,0,0,3.2,3.2,0.19,-0.2,-0.2
Juma Bah,7.6,0,2,1,50.0,0.26,0.13,0.0,0.0,10.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Jhoanner Chávez,6.6,1,5,3,60.0,0.76,0.45,0.2,0.33,16.4,0,0,0,0.3,0.3,0.06,0.7,0.7
Nampalys Mendy,6.5,0,3,0,0.0,0.46,0.0,0.0,,23.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Rémy Labeau Lascary,7.1,2,14,5,35.7,1.98,0.71,0.14,0.4,13.2,0,0,0,2.5,2.5,0.18,-0.5,-0.5
Hervé Koffi,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
David Costa,3.9,0,9,2,22.2,2.3,0.51,0.0,0.0,18.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2
Tom Pouilly,3.0,0,5,2,40.0,1.65,0.66,0.0,0.0,18.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Kyllian Antonio,1.5,0,1,0,0.0,0.65,0.0,0.0,,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Hamzat Ojediran,4.6,1,10,3,30.0,2.16,0.65,0.1,0.33,22.1,0,0,0,0.6,0.6,0.06,0.4,0.4
Jeremy Agbonifo,3.3,1,6,4,66.7,1.8,1.2,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,0.3,0.3
Martin Satriano,1.0,0,5,0,0.0,5.11,0.0,0.0,,13.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Rayan Fofana,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gabin Capuano,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kembo Diliwidi,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
